"Country","Transaction","TIME","Year","Unit","PowerCode","GDP"
"3735","Germany","Gross domestic product (output approach)",2009,2009,"Euro","millions",2474974.55
"3737","Germany","Gross domestic product (output approach)",2011,2011,"Euro","millions",2668706.3
"3739","Germany","Gross domestic product (output approach)",2013,2013,"Euro","millions",2681587.4
"3741","Germany","Gross value added at basic prices, excluding FISIM",2008,2008,"Euro","millions",2366687.09
"3743","Germany","Gross value added at basic prices, excluding FISIM",2010,2010,"Euro","millions",2317328
"3745","Germany","Gross value added at basic prices, excluding FISIM",2012,2012,"Euro","millions",2410716.32
"3747","Germany","Gross value added at basic prices, excluding FISIM",2014,2014,"Euro","millions",2450110.89
"3749","Germany","Domestic demand",2009,2009,"Euro","millions",2372293.3818578
"3751","Germany","Domestic demand",2011,2011,"Euro","millions",2516259
"3753","Germany","Domestic demand",2013,2013,"Euro","millions",2509409.59372995
"3755","Germany","Exports of goods and services",2008,2008,"Euro","millions",1109698.54
"3757","Germany","Exports of goods and services",2010,2010,"Euro","millions",1089649
"3759","Germany","Exports of goods and services",2012,2012,"Euro","millions",1210055.21
"3761","Germany","Exports of goods and services",2014,2014,"Euro","millions",1275543.12
"3763","Germany","Gross value added at basic prices, total activity",2009,2009,"Euro","millions",2221158.89
"3765","Germany","Gross value added at basic prices, total activity",2011,2011,"Euro","millions",2399824.88
"3767","Germany","Gross value added at basic prices, total activity",2013,2013,"Euro","millions",2413265.38
"3769","Germany","Taxes on products",2008,2008,"Euro","millions",267339.04
"3771","Germany","Taxes on products",2010,2010,"Euro","millions",266327
"3773","Germany","Taxes on products",2012,2012,"Euro","millions",274263.54
"3775","Germany","Taxes on products",2014,2014,"Euro","millions",281161.41
"3777","Germany","Households and Non-profit institutions serving households",2009,2009,"Euro","millions",1437033.75
"3779","Germany","Households and Non-profit institutions serving households",2011,2011,"Euro","millions",1478670.14
"3781","Germany","Households and Non-profit institutions serving households",2013,2013,"Euro","millions",1500644.9
"3783","Germany","Gross fixed capital formation",2008,2008,"Euro","millions",526211.1
"3785","Germany","Gross fixed capital formation",2010,2010,"Euro","millions",498023
"3787","Germany","Gross fixed capital formation",2012,2012,"Euro","millions",530593.7
"3789","Germany","Gross fixed capital formation",2014,2014,"Euro","millions",544787.36
"3791","Germany","Final consumption expenditure of households",2009,2009,"Euro","millions",1398675.84
"3793","Germany","Final consumption expenditure of households",2011,2011,"Euro","millions",1439478.17
"3795","Germany","Final consumption expenditure of households",2013,2013,"Euro","millions",1460301.43
"3797","Germany","Individual consumption expenditure of general government",2008,2008,"Euro","millions",300272.94
"3799","Germany","Individual consumption expenditure of general government",2010,2010,"Euro","millions",315181
"3801","Germany","Individual consumption expenditure of general government",2012,2012,"Euro","millions",322650.79
"3803","Germany","Individual consumption expenditure of general government",2014,2014,"Euro","millions",330719.42
"3805","Germany","of which: Manufacturing (ISIC rev4)",2009,2009,"Euro","millions",429775.56
"3807","Germany","of which: Manufacturing (ISIC rev4)",2011,2011,"Euro","millions",555131.01
"3809","Germany","of which: Manufacturing (ISIC rev4)",2013,2013,"Euro","millions",554060.9
"3811","Germany","Exports of goods",2008,2008,"Euro","millions",946992.21
"3813","Germany","Exports of goods",2010,2010,"Euro","millions",918340
"3815","Germany","Exports of goods",2012,2012,"Euro","millions",1026336.78
"3817","Germany","Exports of goods",2014,2014,"Euro","millions",1083457.53
"3819","Germany","Imports of goods",2009,2009,"Euro","millions",663179.87
"3821","Germany","Imports of goods",2011,2011,"Euro","millions",816990.34
"3823","Germany","Imports of goods",2013,2013,"Euro","millions",826608.23
"3825","Germany","Transport equipment",2008,2008,"Euro","millions",59531.63
"3827","Germany","Transport equipment",2010,2010,"Euro","millions",55893
"3829","Germany","Transport equipment",2012,2012,"Euro","millions",47687.91
"3831","Germany","Transport equipment",2014,2014,"Euro","millions",26633.01
"3833","Germany","Imports of services",2009,2009,"Euro","millions",183795.69
"3835","Germany","Imports of services",2011,2011,"Euro","millions",207470.86
"3837","Germany","Imports of services",2013,2013,"Euro","millions",230291.26
"3839","Germany","Exports of services",2008,2008,"Euro","millions",162794.94
"3841","Germany","Exports of services",2010,2010,"Euro","millions",171309
"3843","Germany","Exports of services",2012,2012,"Euro","millions",183763.16
"3845","Germany","Exports of services",2014,2014,"Euro","millions",192208.7
"3847","Germany","Acquisitions less disposals of valuables",2009,2009,"Euro","millions",1972.01
"3849","Germany","Acquisitions less disposals of valuables",2011,2011,"Euro","millions",2772.99
"3851","Germany","Acquisitions less disposals of valuables",2013,2013,"Euro","millions",2487.07
"3853","Germany","Collective consumption expenditure of general government",2008,2008,"Euro","millions",173143.94
"3855","Germany","Collective consumption expenditure of general government",2010,2010,"Euro","millions",178720
"3857","Germany","Collective consumption expenditure of general government",2012,2012,"Euro","millions",180757.41
"3859","Germany","Collective consumption expenditure of general government",2014,2014,"Euro","millions",182115.68
"3861","Germany","Final consumption expenditure of non-profit institutions serving households",2009,2009,"Euro","millions",38382.42
"3863","Germany","Final consumption expenditure of non-profit institutions serving households",2011,2011,"Euro","millions",39199.65
"3865","Germany","Final consumption expenditure of non-profit institutions serving households",2013,2013,"Euro","millions",40470.02
"3867","Germany","Subsidies on products",2008,2008,"Euro","millions",11011.24
"3869","Germany","Subsidies on products",2010,2010,"Euro","millions",7435
"3871","Germany","Subsidies on products",2012,2012,"Euro","millions",6338.34
"3873","Germany","Subsidies on products",2014,2014,"Euro","millions",6597.08
"3875","Germany","Final consumption expenditure of general government",2009,2009,"Euro","millions",487579.07
"3877","Germany","Final consumption expenditure of general government",2011,2011,"Euro","millions",497210.14
"3879","Germany","Final consumption expenditure of general government",2013,2013,"Euro","millions",507038.77
"3881","Germany","Imports of goods and services",2008,2008,"Euro","millions",937167.26
"3883","Germany","Imports of goods and services",2010,2010,"Euro","millions",956098
"3885","Germany","Imports of goods and services",2012,2012,"Euro","millions",1024267.79
"3887","Germany","Imports of goods and services",2014,2014,"Euro","millions",1092820.01
"3889","Germany","Final consumption expenditure",2009,2009,"Euro","millions",1924674.01
"3891","Germany","Final consumption expenditure",2011,2011,"Euro","millions",1975879.69
"3893","Germany","Final consumption expenditure",2013,2013,"Euro","millions",2007689.28
